,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
507,NADH dehydrogenase complex assembly (GO:0010257),GO:0010257,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,,,
508,neural crest cell development (GO:0014032),GO:0014032,developmental process,anatomical structure development,cell development,stem cell development,,,,
509,cotranslational protein targeting to membrane (GO:0006613),GO:0006613,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,,,
510,positive regulation of synaptic transmission (GO:0050806),GO:0050806,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,,,
511,regulation of ubiquitin-protein transferase activity (GO:0051438),GO:0051438,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of transferase activity,,,,
512,respiratory electron transport chain (GO:0022904),GO:0022904,cellular process,cellular metabolic process,generation of precursor metabolites and energy,electron transport chain,,,,
513,regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000586),GO:2000586,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of platelet-derived growth factor receptor signaling pathway,,,
514,nuclear pore complex assembly (GO:0051292),GO:0051292,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,protein-containing complex assembly,pore complex assembly,,
515,RNA phosphodiester bond hydrolysis (GO:0090501),GO:0090501,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,nucleic acid phosphodiester bond hydrolysis,,,
516,negative regulation of ERBB signaling pathway (GO:1901185),GO:1901185,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of ERBB signaling pathway,,,
517,positive regulation of ribosome biogenesis (GO:0090070),GO:0090070,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular component biogenesis,regulation of ribosome biogenesis,,,
518,cellular lipid catabolic process (GO:0044242),GO:0044242,cellular process,catabolic process,organic substance catabolic process,lipid catabolic process,,,,
519,ribosome biogenesis (GO:0042254),GO:0042254,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,
520,viral genome replication (GO:0019079),GO:0019079,viral process,,,,,,,
521,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),GO:0045744,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of G protein-coupled receptor signaling pathway,,,
522,histone H2A ubiquitination (GO:0033522),GO:0033522,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,protein modification by small protein conjugation,protein ubiquitination,
523,cyclic nucleotide biosynthetic process (GO:0009190),GO:0009190,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,nucleotide biosynthetic process,,
524,cellular response to glucose stimulus (GO:0071333),GO:0071333,homeostatic process,cellular homeostasis,carbohydrate homeostasis,glucose homeostasis,cellular response to carbohydrate stimulus,response to hexose,cellular response to hexose stimulus,
525,defense response to bacterium (GO:0042742),GO:0042742,biological process involved in interspecies interaction between organisms,response to biotic stimulus,response to external biotic stimulus,,,,,
526,regulation of cholesterol metabolic process (GO:0090181),GO:0090181,biological regulation,regulation of biological process,regulation of metabolic process,regulation of small molecule metabolic process,regulation of lipid metabolic process,regulation of steroid metabolic process,,
527,regulation of neurotransmitter receptor activity (GO:0099601),GO:0099601,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
528,translational termination (GO:0006415),GO:0006415,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,,,
529,regulation of T cell cytokine production (GO:0002724),GO:0002724,biological regulation,regulation of biological process,regulation of immune system process,regulation of macromolecule metabolic process,regulation of adaptive immune response,regulation of lymphocyte mediated immunity,regulation of T cell mediated immunity,
530,negative regulation of Notch signaling pathway (GO:0045746),GO:0045746,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of Notch signaling pathway,,,
531,peptidyl-threonine phosphorylation (GO:0018107),GO:0018107,cellular process,cellular metabolic process,phosphorus metabolic process,phosphate-containing compound metabolic process,peptidyl-amino acid modification,peptidyl-threonine modification,,
532,glucan biosynthetic process (GO:0009250),GO:0009250,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,polysaccharide biosynthetic process,,,
533,carboxylic acid metabolic process (GO:0019752),GO:0019752,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,,,,
534,cAMP biosynthetic process (GO:0006171),GO:0006171,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,purine ribonucleotide metabolic process,cyclic nucleotide biosynthetic process,
535,regulation of rhodopsin mediated signaling pathway (GO:0022400),GO:0022400,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of G protein-coupled receptor signaling pathway,,,
536,epiboly involved in wound healing (GO:0090505),GO:0090505,developmental process,anatomical structure morphogenesis,tissue morphogenesis,morphogenesis of an epithelium,morphogenesis of an epithelial sheet,epiboly,,
537,carbohydrate phosphorylation (GO:0046835),GO:0046835,cellular process,primary metabolic process,carbohydrate metabolic process,phosphate-containing compound metabolic process,phosphorylation,,,
538,cellular response to nerve growth factor stimulus (GO:1990090),GO:1990090,response to stimulus,response to endogenous stimulus,cellular response to endogenous stimulus,cellular response to growth factor stimulus,,,,
539,protein O-linked glycosylation via threonine (GO:0018243),GO:0018243,metabolic process,glycosylation,macromolecule glycosylation,protein glycosylation,peptidyl-amino acid modification,peptidyl-threonine modification,,
540,cellular amino acid catabolic process (GO:0009063),GO:0009063,cellular process,catabolic process,small molecule catabolic process,organonitrogen compound catabolic process,carboxylic acid metabolic process,,,
541,regulation of mitotic metaphase/anaphase transition (GO:0030071),GO:0030071,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of mitotic cell cycle,regulation of chromosome segregation,regulation of sister chromatid segregation,
542,cellular response to virus (GO:0098586),GO:0098586,biological process involved in interspecies interaction between organisms,response to biotic stimulus,response to external biotic stimulus,,,,,
543,regulation of delayed rectifier potassium channel activity (GO:1902259),GO:1902259,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,regulation of monoatomic cation transmembrane transport,regulation of potassium ion transport,
544,regulation of glucose transport (GO:0010827),GO:0010827,biological regulation,regulation of biological process,regulation of localization,regulation of transmembrane transport,,,,
545,synapse assembly (GO:0007416),GO:0007416,cellular process,cellular component organization or biogenesis,cellular component organization,cellular component assembly,cell junction assembly,,,
546,chordate embryonic development (GO:0043009),GO:0043009,developmental process,multicellular organism development,embryo development,embryo development ending in birth or egg hatching,,,,
547,platelet aggregation (GO:0070527),GO:0070527,cellular process,cell adhesion,cell-cell adhesion,homotypic cell-cell adhesion,,,,
548,semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287),GO:1902287,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,semaphorin-plexin signaling pathway involved in neuron projection guidance,,,
549,regulation of dendrite development (GO:0050773),GO:0050773,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
550,regulation of glucose import in response to insulin stimulus (GO:2001273),GO:2001273,,,,,,,,
551,positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800),GO:1903800,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of post-transcriptional gene silencing,regulation of miRNA processing,regulation of miRNA-mediated gene silencing
552,ATP biosynthetic process (GO:0006754),GO:0006754,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside triphosphate metabolic process,purine ribonucleotide metabolic process,ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate biosynthetic process
553,cytoplasmic sequestering of transcription factor (GO:0042994),GO:0042994,localization,regulation of biological process,regulation of DNA-binding transcription factor activity,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
554,melanosome transport (GO:0032402),GO:0032402,localization,establishment of localization,vesicle localization,establishment of vesicle localization,establishment of pigment granule localization,establishment of melanosome localization,,
555,cellular amino acid biosynthetic process (GO:0008652),GO:0008652,cellular process,small molecule metabolic process,organic substance biosynthetic process,organic acid biosynthetic process,carboxylic acid metabolic process,,,
556,negative regulation of biomineral tissue development (GO:0070168),GO:0070168,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of biomineral tissue development,,,
557,interleukin-7-mediated signaling pathway (GO:0038111),GO:0038111,biological regulation,regulation of biological process,cell surface receptor signaling pathway,cytokine-mediated signaling pathway,,,,
558,regulation of mitochondrial translation (GO:0070129),GO:0070129,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of amide metabolic process,regulation of mitochondrial gene expression,,
559,negative regulation of protein tyrosine kinase activity (GO:0061099),GO:0061099,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of kinase activity,negative regulation of protein metabolic process,negative regulation of protein kinase activity,regulation of peptidyl-tyrosine phosphorylation
560,viral gene expression (GO:0019080),GO:0019080,viral process,,,,,,,
561,rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428),GO:0071428,,,,,,,,
562,cyclic nucleotide metabolic process (GO:0009187),GO:0009187,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,,,
563,plasma membrane invagination (GO:0099024),GO:0099024,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,membrane invagination,,,
564,ncRNA catabolic process (GO:0034661),GO:0034661,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,ncRNA metabolic process,,
565,translation (GO:0006412),GO:0006412,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
566,miRNA mediated inhibition of translation (GO:0035278),GO:0035278,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of biosynthetic process,negative regulation of protein metabolic process,post-transcriptional gene silencing,ncRNA-mediated post-transcriptional gene silencing
567,positive regulation of adenylate cyclase activity (GO:0045762),GO:0045762,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of lyase activity,positive regulation of cyclase activity,,,
568,presynaptic membrane organization (GO:0097090),GO:0097090,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,,,,
569,neurotransmitter receptor internalization (GO:0099590),GO:0099590,localization,protein-containing complex localization,transport,vesicle-mediated transport,endocytosis,receptor-mediated endocytosis,receptor internalization,
570,regulation of long term synaptic depression (GO:1900452),GO:1900452,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
571,regulation of skeletal muscle tissue development (GO:0048641),GO:0048641,biological regulation,regulation of biological process,regulation of developmental process,regulation of muscle tissue development,,,,
572,regulation of filopodium assembly (GO:0051489),GO:0051489,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
573,TORC1 signaling (GO:0038202),GO:0038202,biological regulation,regulation of biological process,intracellular signal transduction,TOR signaling,,,,
574,neuron projection fasciculation (GO:0106030),GO:0106030,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
575,negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144),GO:0033144,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of intracellular steroid hormone receptor signaling pathway,,,
576,vesicle-mediated transport in synapse (GO:0099003),GO:0099003,localization,establishment of localization,transport,vesicle-mediated transport,,,,
577,negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736),GO:0045736,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of cyclin-dependent protein kinase activity,negative regulation of protein metabolic process,negative regulation of protein kinase activity,negative regulation of phosphorylation
578,positive regulation of potassium ion transport (GO:0043268),GO:0043268,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of monoatomic ion transport,regulation of metal ion transport,regulation of potassium ion transport,
579,contractile actin filament bundle assembly (GO:0030038),GO:0030038,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
580,N-terminal protein amino acid modification (GO:0031365),GO:0031365,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,,,,
581,canonical glycolysis (GO:0061621),GO:0061621,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,glucose catabolic process to pyruvate,
582,regulation of gastrulation (GO:0010470),GO:0010470,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of embryonic development,,,
583,establishment of protein localization to mitochondrial membrane (GO:0090151),GO:0090151,cellular process,cellular localization,localization within membrane,protein localization to membrane,mitochondrial membrane organization,protein localization to mitochondrion,,
584,positive regulation of sodium ion transport (GO:0010765),GO:0010765,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of monoatomic ion transport,regulation of metal ion transport,regulation of sodium ion transport,
585,prostaglandin biosynthetic process (GO:0001516),GO:0001516,cellular process,small molecule metabolic process,organic substance biosynthetic process,fatty acid metabolic process,carboxylic acid metabolic process,unsaturated fatty acid biosynthetic process,prostanoid biosynthetic process,
586,ribosomal large subunit biogenesis (GO:0042273),GO:0042273,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,
587,neurotransmitter receptor diffusion trapping (GO:0099628),GO:0099628,cellular process,protein-containing complex localization,receptor diffusion trapping,,,,,
588,postsynaptic density assembly (GO:0097107),GO:0097107,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,postsynaptic specialization assembly,,
589,regulation of actin cytoskeleton organization (GO:0032956),GO:0032956,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,regulation of cytoskeleton organization,,
590,strand displacement (GO:0000732),GO:0000732,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
591,rRNA metabolic process (GO:0016072),GO:0016072,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,,
592,detection of mechanical stimulus (GO:0050982),GO:0050982,response to stimulus,response to abiotic stimulus,detection of external stimulus,,,,,
593,histone deacetylation (GO:0016575),GO:0016575,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,protein deacetylation,,
594,negative regulation of cellular component organization (GO:0051129),GO:0051129,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,,,,
595,nuclear migration (GO:0007097),GO:0007097,cellular process,establishment of localization,transport,,,,,
596,negative regulation of ERAD pathway (GO:1904293),GO:1904293,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of protein metabolic process,negative regulation of protein metabolic process,regulation of proteolysis involved in protein catabolic process,negative regulation of proteolysis involved in protein catabolic process
597,regulation of protein localization to plasma membrane (GO:1903076),GO:1903076,biological regulation,regulation of biological process,regulation of localization,regulation of cellular localization,regulation of protein localization,regulation of protein localization to cell periphery,,
598,glycosphingolipid biosynthetic process (GO:0006688),GO:0006688,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycolipid biosynthetic process,,,
599,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",GO:0051968,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,"regulation of synaptic transmission, glutamatergic",,
600,carbohydrate derivative biosynthetic process (GO:1901137),GO:1901137,metabolic process,biosynthetic process,carbohydrate derivative metabolic process,,,,,
601,regulation of endothelial cell apoptotic process (GO:2000351),GO:2000351,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell death,regulation of programmed cell death,regulation of apoptotic process,regulation of epithelial cell apoptotic process,
602,protein heterotetramerization (GO:0051290),GO:0051290,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,protein complex oligomerization,protein heterooligomerization,
603,regulation of cation channel activity (GO:2001257),GO:2001257,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,,
604,lung development (GO:0030324),GO:0030324,developmental process,anatomical structure development,animal organ development,,,,,
605,lipid transport (GO:0006869),GO:0006869,localization,establishment of localization,transport,organic substance transport,,,,
606,second-messenger-mediated signaling (GO:0019932),GO:0019932,biological regulation,regulation of biological process,intracellular signal transduction,,,,,
607,negative regulation of dendrite morphogenesis (GO:0050774),GO:0050774,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,negative regulation of cell projection organization,regulation of neuron projection development,
608,viral transcription (GO:0019083),GO:0019083,viral process,,,,,,,
609,granulocyte chemotaxis (GO:0071621),GO:0071621,locomotion,cell motility,cell migration,cell chemotaxis,,,,
610,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),GO:0098970,biological regulation,protein-containing complex localization,receptor diffusion trapping,neurotransmitter receptor diffusion trapping,,,,
611,establishment of protein localization to vacuole (GO:0072666),GO:0072666,cellular process,establishment of localization,establishment of protein localization,establishment of protein localization to organelle,protein localization to organelle,protein localization to vacuole,,
612,regulation of extent of cell growth (GO:0061387),GO:0061387,biological regulation,regulation of biological process,regulation of growth,regulation of cell growth,,,,
613,cellular sodium ion homeostasis (GO:0006883),GO:0006883,homeostatic process,chemical homeostasis,inorganic ion homeostasis,monoatomic cation homeostasis,intracellular monoatomic cation homeostasis,,,
614,positive regulation of peptide secretion (GO:0002793),GO:0002793,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of secretion,regulation of peptide secretion,,
615,response to leucine (GO:0043201),GO:0043201,response to stimulus,response to chemical,response to organic substance,response to organonitrogen compound,,,,
616,regulation of voltage-gated calcium channel activity (GO:1901385),GO:1901385,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,regulation of calcium ion transmembrane transporter activity,regulation of calcium ion transmembrane transport,
617,regulation of myotube differentiation (GO:0010830),GO:0010830,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of muscle cell differentiation,regulation of striated muscle cell differentiation,,
618,selective autophagy (GO:0061912),GO:0061912,cellular process,process utilizing autophagic mechanism,autophagy,macroautophagy,,,,
619,membrane lipid metabolic process (GO:0006643),GO:0006643,cellular process,cellular metabolic process,lipid metabolic process,,,,,
620,positive regulation of focal adhesion assembly (GO:0051894),GO:0051894,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell adhesion,regulation of cell-substrate junction organization,regulation of cell-matrix adhesion,positive regulation of cell-matrix adhesion,
621,eye development (GO:0001654),GO:0001654,developmental process,anatomical structure development,animal organ development,sensory organ development,,,,
622,snRNA metabolic process (GO:0016073),GO:0016073,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,,
623,cytoplasmic sequestering of protein (GO:0051220),GO:0051220,localization,maintenance of location,maintenance of protein location,,,,,
624,bone development (GO:0060348),GO:0060348,developmental process,anatomical structure development,animal organ development,,,,,
625,positive regulation of transcription from RNA polymerase I promoter (GO:0045943),GO:0045943,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,positive regulation of RNA biosynthetic process,positive regulation of nucleic acid-templated transcription
626,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),GO:0007200,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,,,,,
627,positive regulation of transport (GO:0051050),GO:0051050,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,,,,
628,leptin-mediated signaling pathway (GO:0033210),GO:0033210,biological regulation,regulation of biological process,cell surface receptor signaling pathway,cytokine-mediated signaling pathway,,,,
629,positive regulation of stem cell proliferation (GO:2000648),GO:2000648,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell population proliferation,positive regulation of cell population proliferation,,,
630,cellular response to alcohol (GO:0097306),GO:0097306,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,,,,
631,negative regulation of osteoblast differentiation (GO:0045668),GO:0045668,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cell differentiation,negative regulation of cell differentiation,,,
632,regulation of phosphate metabolic process (GO:0019220),GO:0019220,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,,,
633,cellular response to topologically incorrect protein (GO:0035967),GO:0035967,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
634,positive regulation of endocytosis (GO:0045807),GO:0045807,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,regulation of endocytosis,,,
635,negative regulation of protein polymerization (GO:0032272),GO:0032272,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of protein-containing complex assembly,regulation of protein polymerization,,
636,growth hormone receptor signaling pathway (GO:0060396),GO:0060396,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
637,sulfur compound catabolic process (GO:0044273),GO:0044273,cellular process,catabolic process,sulfur compound metabolic process,,,,,
638,PERK-mediated unfolded protein response (GO:0036499),GO:0036499,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
639,positive regulation of regulated secretory pathway (GO:1903307),GO:1903307,biological regulation,regulation of biological process,positive regulation of biological process,regulation of secretion by cell,regulation of secretion,positive regulation of exocytosis,,
640,negative regulation of DNA binding (GO:0043392),GO:0043392,biological regulation,regulation of molecular function,negative regulation of molecular function,regulation of DNA binding,,,,
641,negative regulation of DNA repair (GO:0045738),GO:0045738,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,negative regulation of DNA metabolic process,,
642,regulation of secretion by cell (GO:1903530),GO:1903530,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of secretion,,,
643,regulation of endothelial cell chemotaxis (GO:2001026),GO:2001026,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell motility,regulation of cell migration,,,
644,cellular response to ATP (GO:0071318),GO:0071318,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to purine-containing compound,,,
645,positive regulation of nitric-oxide synthase activity (GO:0051000),GO:0051000,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of oxidoreductase activity,positive regulation of oxidoreductase activity,positive regulation of monooxygenase activity,,
646,lysosome localization (GO:0032418),GO:0032418,localization,organelle localization,vacuolar localization,,,,,
647,alanine transport (GO:0032328),GO:0032328,localization,establishment of localization,transport,organic substance transport,organic anion transport,carboxylic acid transport,,
648,regulation of membrane depolarization (GO:0003254),GO:0003254,biological regulation,regulation of biological process,regulation of membrane potential,,,,,
649,determination of heart left/right asymmetry (GO:0061371),GO:0061371,multicellular organismal process,pattern specification process,specification of symmetry,determination of bilateral symmetry,determination of left/right symmetry,,,
650,regulation of establishment or maintenance of cell polarity (GO:0032878),GO:0032878,biological regulation,regulation of biological process,regulation of cellular process,,,,,
651,negative regulation of cell projection organization (GO:0031345),GO:0031345,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,regulation of cell projection organization,,,
652,negative regulation of actin filament bundle assembly (GO:0032232),GO:0032232,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,negative regulation of supramolecular fiber organization,negative regulation of cytoskeleton organization,
653,retina homeostasis (GO:0001895),GO:0001895,homeostatic process,multicellular organismal-level homeostasis,anatomical structure homeostasis,tissue homeostasis,,,,
654,negative regulation of RNA metabolic process (GO:0051253),GO:0051253,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular metabolic process,regulation of nucleobase-containing compound metabolic process,negative regulation of nucleobase-containing compound metabolic process,,
655,retinal ganglion cell axon guidance (GO:0031290),GO:0031290,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
656,regulation of axonogenesis (GO:0050770),GO:0050770,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
657,cellular polysaccharide catabolic process (GO:0044247),GO:0044247,,,,,,,,
658,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",GO:0000479,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,RNA phosphodiester bond hydrolysis,"RNA phosphodiester bond hydrolysis, endonucleolytic",endonucleolytic cleavage involved in rRNA processing
659,protein depolymerization (GO:0051261),GO:0051261,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,,,
660,positive regulation of axonogenesis (GO:0050772),GO:0050772,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,regulation of neuron projection development,
661,somatic hypermutation of immunoglobulin genes (GO:0016446),GO:0016446,immune system process,somatic diversification of immune receptors,somatic diversification of immunoglobulins,,,,,
662,"phagocytosis, engulfment (GO:0006911)",GO:0006911,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,membrane invagination,plasma membrane invagination,,
663,triglyceride metabolic process (GO:0006641),GO:0006641,cellular process,cellular metabolic process,lipid metabolic process,glycerolipid metabolic process,acylglycerol metabolic process,,,
664,regulation of peptidyl-threonine phosphorylation (GO:0010799),GO:0010799,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,regulation of protein phosphorylation,
665,creatine metabolic process (GO:0006600),GO:0006600,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,
666,cellular response to cAMP (GO:0071320),GO:0071320,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to purine-containing compound,,,
667,regulation of synapse assembly (GO:0051963),GO:0051963,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of synapse organization,,,
668,centromere complex assembly (GO:0034508),GO:0034508,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,protein-DNA complex organization,protein-DNA complex assembly,,
669,positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101),GO:1902101,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,regulation of sister chromatid segregation,
670,phosphatidylinositol-mediated signaling (GO:0048015),GO:0048015,biological regulation,regulation of biological process,intracellular signal transduction,inositol lipid-mediated signaling,,,,
671,translational elongation (GO:0006414),GO:0006414,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,,,,
672,regulation of lamellipodium organization (GO:1902743),GO:1902743,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
673,response to purine-containing compound (GO:0014074),GO:0014074,response to stimulus,response to chemical,response to organic substance,response to organic cyclic compound,,,,
