,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
572,regulation of mitochondrial membrane permeability (GO:0046902),GO:0046902,biological regulation,cellular component organization or biogenesis,regulation of membrane permeability,organelle organization,mitochondrion organization,,,
573,regulation of rhodopsin mediated signaling pathway (GO:0022400),GO:0022400,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of G protein-coupled receptor signaling pathway,,,
574,epiboly involved in wound healing (GO:0090505),GO:0090505,developmental process,anatomical structure morphogenesis,tissue morphogenesis,morphogenesis of an epithelium,morphogenesis of an epithelial sheet,epiboly,,
575,carbohydrate phosphorylation (GO:0046835),GO:0046835,cellular process,primary metabolic process,carbohydrate metabolic process,phosphate-containing compound metabolic process,phosphorylation,,,
576,regulation of dendrite extension (GO:1903859),GO:1903859,biological regulation,regulation of biological process,regulation of growth,regulation of cell growth,regulation of cell morphogenesis,,,
577,cellular amino acid catabolic process (GO:0009063),GO:0009063,cellular process,catabolic process,small molecule catabolic process,organonitrogen compound catabolic process,carboxylic acid metabolic process,,,
578,regulation of mitotic metaphase/anaphase transition (GO:0030071),GO:0030071,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell cycle,regulation of mitotic cell cycle,regulation of chromosome segregation,regulation of sister chromatid segregation,
579,cellular response to virus (GO:0098586),GO:0098586,biological process involved in interspecies interaction between organisms,response to biotic stimulus,response to external biotic stimulus,,,,,
580,bile acid and bile salt transport (GO:0015721),GO:0015721,localization,establishment of localization,transport,organic substance transport,organic hydroxy compound transport,carboxylic acid transport,monocarboxylic acid transport,
581,regulation of delayed rectifier potassium channel activity (GO:1902259),GO:1902259,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,regulation of monoatomic cation transmembrane transport,regulation of potassium ion transport,
582,viral entry into host cell (GO:0046718),GO:0046718,biological process involved in interspecies interaction between organisms,biological process involved in symbiotic interaction,biological process involved in interaction with host,movement in host,entry into host,,,
583,chordate embryonic development (GO:0043009),GO:0043009,developmental process,multicellular organism development,embryo development,embryo development ending in birth or egg hatching,,,,
584,platelet aggregation (GO:0070527),GO:0070527,cellular process,cell adhesion,cell-cell adhesion,homotypic cell-cell adhesion,,,,
585,semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287),GO:1902287,biological regulation,regulation of biological process,cell surface receptor signaling pathway,semaphorin-plexin signaling pathway,semaphorin-plexin signaling pathway involved in neuron projection guidance,,,
586,regulation of dendrite development (GO:0050773),GO:0050773,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
587,Fc-gamma receptor signaling pathway (GO:0038094),GO:0038094,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of immune response,Fc receptor signaling pathway,,,
588,ATP biosynthetic process (GO:0006754),GO:0006754,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside triphosphate metabolic process,purine ribonucleotide metabolic process,ribonucleoside triphosphate biosynthetic process,purine ribonucleoside triphosphate biosynthetic process
589,cytoplasmic sequestering of transcription factor (GO:0042994),GO:0042994,localization,regulation of biological process,regulation of DNA-binding transcription factor activity,regulation of cellular metabolic process,regulation of RNA metabolic process,regulation of RNA biosynthetic process,regulation of nucleic acid-templated transcription,
590,melanosome transport (GO:0032402),GO:0032402,localization,establishment of localization,vesicle localization,establishment of vesicle localization,establishment of pigment granule localization,establishment of melanosome localization,,
591,negative regulation of biomineral tissue development (GO:0070168),GO:0070168,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of biomineral tissue development,,,
592,interleukin-7-mediated signaling pathway (GO:0038111),GO:0038111,biological regulation,regulation of biological process,cell surface receptor signaling pathway,cytokine-mediated signaling pathway,,,,
593,negative regulation of protein tyrosine kinase activity (GO:0061099),GO:0061099,biological regulation,regulation of biological process,regulation of metabolic process,negative regulation of cellular process,regulation of kinase activity,negative regulation of protein metabolic process,negative regulation of protein kinase activity,regulation of peptidyl-tyrosine phosphorylation
594,positive regulation of histone H3-K4 methylation (GO:0051571),GO:0051571,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of protein metabolic process,regulation of protein modification process,regulation of histone modification,regulation of histone methylation
595,nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423),GO:0070423,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
596,viral gene expression (GO:0019080),GO:0019080,viral process,,,,,,,
597,negative regulation of morphogenesis of an epithelium (GO:1905331),GO:1905331,biological regulation,regulation of biological process,negative regulation of biological process,regulation of anatomical structure morphogenesis,regulation of morphogenesis of an epithelium,,,
598,positive regulation of phosphatase activity (GO:0010922),GO:0010922,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,positive regulation of phosphate metabolic process,positive regulation of dephosphorylation
599,rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428),GO:0071428,,,,,,,,
600,ameboidal-type cell migration (GO:0001667),GO:0001667,cellular process,cell motility,cell migration,,,,,
601,cyclic nucleotide metabolic process (GO:0009187),GO:0009187,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,nucleoside phosphate metabolic process,nucleotide metabolic process,,,
602,"regulation of wound healing, spreading of epidermal cells (GO:1903689)",GO:1903689,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell motility,regulation of cell migration,regulation of wound healing,,
603,positive regulation of smooth muscle cell migration (GO:0014911),GO:0014911,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell motility,regulation of cell migration,regulation of smooth muscle cell migration,,
604,regulation of supramolecular fiber organization (GO:1902903),GO:1902903,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,,,,
605,ncRNA catabolic process (GO:0034661),GO:0034661,cellular process,catabolic process,organic cyclic compound metabolic process,cellular nitrogen compound catabolic process,RNA metabolic process,ncRNA metabolic process,,
606,translation (GO:0006412),GO:0006412,cellular process,primary metabolic process,organic substance biosynthetic process,peptide metabolic process,peptide biosynthetic process,,,
607,regulation of cardiac muscle cell membrane repolarization (GO:0099623),GO:0099623,biological regulation,regulation of biological process,regulation of membrane repolarization,,,,,
608,positive regulation of adenylate cyclase activity (GO:0045762),GO:0045762,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of lyase activity,positive regulation of cyclase activity,,,
609,"negative regulation of gene expression, epigenetic (GO:0045814)",GO:0045814,biological regulation,regulation of biological process,negative regulation of biological process,protein-containing complex organization,negative regulation of macromolecule metabolic process,negative regulation of gene expression,chromatin remodeling,
610,positive regulation of interferon-alpha production (GO:0032727),GO:0032727,biological regulation,regulation of biological process,regulation of metabolic process,positive regulation of multicellular organismal process,regulation of gene expression,positive regulation of type I interferon production,,
611,mesonephric tubule development (GO:0072164),GO:0072164,developmental process,anatomical structure development,tissue development,epithelium development,kidney epithelium development,mesonephric epithelium development,,
612,regulation of activin receptor signaling pathway (GO:0032925),GO:0032925,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,,
613,regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069),GO:1903069,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of ubiquitin-dependent protein catabolic process,regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of proteolysis involved in protein catabolic process,
614,neurotransmitter receptor internalization (GO:0099590),GO:0099590,localization,protein-containing complex localization,transport,vesicle-mediated transport,endocytosis,receptor-mediated endocytosis,receptor internalization,
615,regulation of long term synaptic depression (GO:1900452),GO:1900452,biological regulation,regulation of biological process,regulation of synaptic plasticity,regulation of trans-synaptic signaling,modulation of chemical synaptic transmission,,,
616,regulation of skeletal muscle tissue development (GO:0048641),GO:0048641,biological regulation,regulation of biological process,regulation of developmental process,regulation of muscle tissue development,,,,
617,regulation of filopodium assembly (GO:0051489),GO:0051489,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
618,TORC1 signaling (GO:0038202),GO:0038202,biological regulation,regulation of biological process,intracellular signal transduction,TOR signaling,,,,
619,neuron projection fasciculation (GO:0106030),GO:0106030,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
620,positive regulation of endothelial cell chemotaxis (GO:2001028),GO:2001028,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of locomotion,positive regulation of cell motility,positive regulation of cell migration,,
621,vesicle-mediated transport in synapse (GO:0099003),GO:0099003,localization,establishment of localization,transport,vesicle-mediated transport,,,,
622,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)",GO:1900153,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
623,N-terminal protein amino acid modification (GO:0031365),GO:0031365,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,,,,
624,positive regulation of potassium ion transport (GO:0043268),GO:0043268,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of monoatomic ion transport,regulation of metal ion transport,regulation of potassium ion transport,
625,contractile actin filament bundle assembly (GO:0030038),GO:0030038,cellular process,cellular component organization or biogenesis,cellular component organization,supramolecular fiber organization,actin filament bundle assembly,actin filament bundle organization,,
626,canonical glycolysis (GO:0061621),GO:0061621,cellular process,catabolic process,small molecule catabolic process,carbohydrate catabolic process,hexose catabolic process,glucose catabolic process,glucose catabolic process to pyruvate,
627,positive regulation of sodium ion transport (GO:0010765),GO:0010765,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of transport,positive regulation of monoatomic ion transport,regulation of metal ion transport,regulation of sodium ion transport,
628,prostaglandin biosynthetic process (GO:0001516),GO:0001516,cellular process,small molecule metabolic process,organic substance biosynthetic process,fatty acid metabolic process,carboxylic acid metabolic process,unsaturated fatty acid biosynthetic process,prostanoid biosynthetic process,
629,ribosomal large subunit biogenesis (GO:0042273),GO:0042273,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,
630,neurotransmitter receptor diffusion trapping (GO:0099628),GO:0099628,cellular process,protein-containing complex localization,receptor diffusion trapping,,,,,
631,regulation of NF-kappaB import into nucleus (GO:0042345),GO:0042345,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,regulation of intracellular signal transduction,,,
632,N-terminal peptidyl-methionine acetylation (GO:0017196),GO:0017196,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein maturation,N-terminal protein amino acid modification,peptidyl-methionine modification,,
633,postsynaptic density assembly (GO:0097107),GO:0097107,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,organelle assembly,postsynaptic specialization assembly,,
634,strand displacement (GO:0000732),GO:0000732,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
635,negative regulation of Rho protein signal transduction (GO:0035024),GO:0035024,biological regulation,regulation of biological process,regulation of signaling,negative regulation of cellular process,regulation of intracellular signal transduction,negative regulation of intracellular signal transduction,regulation of Ras protein signal transduction,negative regulation of Ras protein signal transduction
636,positive regulation of response to endoplasmic reticulum stress (GO:1905898),GO:1905898,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to stress,regulation of response to endoplasmic reticulum stress,,,
637,rRNA metabolic process (GO:0016072),GO:0016072,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,,
638,detection of mechanical stimulus (GO:0050982),GO:0050982,response to stimulus,response to abiotic stimulus,detection of external stimulus,,,,,
639,branched-chain amino acid metabolic process (GO:0009081),GO:0009081,cellular process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,,,
640,histone deacetylation (GO:0016575),GO:0016575,metabolic process,nitrogen compound metabolic process,organonitrogen compound metabolic process,protein modification process,histone modification,protein deacetylation,,
641,nuclear migration (GO:0007097),GO:0007097,cellular process,establishment of localization,transport,,,,,
642,regulation of clathrin-dependent endocytosis (GO:2000369),GO:2000369,biological regulation,regulation of biological process,regulation of localization,regulation of vesicle-mediated transport,regulation of endocytosis,regulation of receptor-mediated endocytosis,,
643,glycosphingolipid biosynthetic process (GO:0006688),GO:0006688,cellular process,primary metabolic process,organic substance biosynthetic process,lipid biosynthetic process,glycolipid biosynthetic process,,,
644,"positive regulation of synaptic transmission, glutamatergic (GO:0051968)",GO:0051968,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,"regulation of synaptic transmission, glutamatergic",,
645,cartilage development (GO:0051216),GO:0051216,developmental process,anatomical structure development,animal organ development,,,,,
646,regulation of cation channel activity (GO:2001257),GO:2001257,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,regulation of monoatomic ion transmembrane transport,regulation of monoatomic cation transmembrane transport,,
647,lung development (GO:0030324),GO:0030324,developmental process,anatomical structure development,animal organ development,,,,,
648,lipid transport (GO:0006869),GO:0006869,localization,establishment of localization,transport,organic substance transport,,,,
649,snRNA transcription (GO:0009301),GO:0009301,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,ncRNA metabolic process,DNA-templated transcription,ncRNA transcription
650,second-messenger-mediated signaling (GO:0019932),GO:0019932,biological regulation,regulation of biological process,intracellular signal transduction,,,,,
651,negative regulation of dendrite morphogenesis (GO:0050774),GO:0050774,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,negative regulation of cell projection organization,regulation of neuron projection development,
652,cellular response to leucine starvation (GO:1990253),GO:1990253,cellular process,cell communication,response to starvation,cellular response to starvation,cellular response to amino acid starvation,,,
653,viral transcription (GO:0019083),GO:0019083,viral process,,,,,,,
654,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),GO:0098970,biological regulation,protein-containing complex localization,receptor diffusion trapping,neurotransmitter receptor diffusion trapping,,,,
655,regulation of extent of cell growth (GO:0061387),GO:0061387,biological regulation,regulation of biological process,regulation of growth,regulation of cell growth,,,,
656,response to leucine (GO:0043201),GO:0043201,response to stimulus,response to chemical,response to organic substance,response to organonitrogen compound,,,,
657,regulation of voltage-gated calcium channel activity (GO:1901385),GO:1901385,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of monoatomic ion transmembrane transporter activity,regulation of calcium ion transmembrane transporter activity,regulation of calcium ion transmembrane transport,
658,intracellular estrogen receptor signaling pathway (GO:0030520),GO:0030520,biological regulation,regulation of biological process,intracellular receptor signaling pathway,intracellular steroid hormone receptor signaling pathway,,,,
659,regulation of myotube differentiation (GO:0010830),GO:0010830,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of muscle cell differentiation,regulation of striated muscle cell differentiation,,
660,entrainment of circadian clock by photoperiod (GO:0043153),GO:0043153,biological regulation,regulation of biological process,response to radiation,response to light stimulus,photoperiodism,,,
661,membrane lipid metabolic process (GO:0006643),GO:0006643,cellular process,cellular metabolic process,lipid metabolic process,,,,,
662,selective autophagy (GO:0061912),GO:0061912,cellular process,process utilizing autophagic mechanism,autophagy,macroautophagy,,,,
663,positive regulation of focal adhesion assembly (GO:0051894),GO:0051894,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell adhesion,regulation of cell-substrate junction organization,regulation of cell-matrix adhesion,positive regulation of cell-matrix adhesion,
664,regulation of cAMP biosynthetic process (GO:0030817),GO:0030817,,,,,,,,
665,snRNA metabolic process (GO:0016073),GO:0016073,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,RNA metabolic process,ncRNA metabolic process,,
666,cytoplasmic sequestering of protein (GO:0051220),GO:0051220,localization,maintenance of location,maintenance of protein location,,,,,
667,bone development (GO:0060348),GO:0060348,developmental process,anatomical structure development,animal organ development,,,,,
668,phospholipase C-activating G-protein coupled receptor signaling pathway (GO:0007200),GO:0007200,biological regulation,regulation of biological process,G protein-coupled receptor signaling pathway,,,,,
669,positive regulation of transport (GO:0051050),GO:0051050,biological regulation,regulation of biological process,positive regulation of biological process,regulation of transport,,,,
670,leptin-mediated signaling pathway (GO:0033210),GO:0033210,biological regulation,regulation of biological process,cell surface receptor signaling pathway,cytokine-mediated signaling pathway,,,,
671,positive regulation of stem cell proliferation (GO:2000648),GO:2000648,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell population proliferation,positive regulation of cell population proliferation,,,
672,cellular response to alcohol (GO:0097306),GO:0097306,cellular process,response to chemical,cellular response to chemical stimulus,cellular response to organic substance,,,,
673,regulation of muscle contraction (GO:0006937),GO:0006937,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of system process,regulation of muscle system process,,,
674,regulation of phosphate metabolic process (GO:0019220),GO:0019220,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,,,
675,cellular response to topologically incorrect protein (GO:0035967),GO:0035967,cellular process,response to chemical,cellular response to stress,cellular response to organic substance,,,,
676,negative regulation of protein polymerization (GO:0032272),GO:0032272,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of protein-containing complex assembly,regulation of protein polymerization,,
677,neuron projection morphogenesis (GO:0048812),GO:0048812,developmental process,anatomical structure morphogenesis,cellular component morphogenesis,cell projection organization,cell projection morphogenesis,plasma membrane bounded cell projection morphogenesis,,
678,growth hormone receptor signaling pathway (GO:0060396),GO:0060396,biological regulation,regulation of biological process,cell surface receptor signaling pathway,enzyme-linked receptor protein signaling pathway,transmembrane receptor protein tyrosine kinase signaling pathway,,,
679,sulfur compound catabolic process (GO:0044273),GO:0044273,cellular process,catabolic process,sulfur compound metabolic process,,,,,
680,PERK-mediated unfolded protein response (GO:0036499),GO:0036499,biological regulation,regulation of biological process,cellular response to stress,response to endoplasmic reticulum stress,,,,
681,positive regulation of regulated secretory pathway (GO:1903307),GO:1903307,biological regulation,regulation of biological process,positive regulation of biological process,regulation of secretion by cell,regulation of secretion,positive regulation of exocytosis,,
682,regulation of defense response to virus by host (GO:0050691),GO:0050691,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to external stimulus,regulation of defense response,,,
683,negative regulation of DNA repair (GO:0045738),GO:0045738,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,negative regulation of DNA metabolic process,,
684,regulation of secretion by cell (GO:1903530),GO:1903530,biological regulation,regulation of biological process,regulation of localization,regulation of transport,regulation of secretion,,,
685,positive regulation of mRNA processing (GO:0050685),GO:0050685,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of metabolic process,regulation of RNA metabolic process,regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,
686,regulation of endothelial cell chemotaxis (GO:2001026),GO:2001026,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell motility,regulation of cell migration,,,
687,cellular response to ATP (GO:0071318),GO:0071318,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to purine-containing compound,,,
688,regulation of ion transmembrane transporter activity (GO:0032412),GO:0032412,biological regulation,regulation of biological process,regulation of transporter activity,regulation of transmembrane transport,,,,
689,positive regulation of nitric-oxide synthase activity (GO:0051000),GO:0051000,biological regulation,regulation of molecular function,positive regulation of molecular function,regulation of oxidoreductase activity,positive regulation of oxidoreductase activity,positive regulation of monooxygenase activity,,
690,regulation of membrane depolarization (GO:0003254),GO:0003254,biological regulation,regulation of biological process,regulation of membrane potential,,,,,
691,regulation of establishment or maintenance of cell polarity (GO:0032878),GO:0032878,biological regulation,regulation of biological process,regulation of cellular process,,,,,
692,regulation of activated T cell proliferation (GO:0046006),GO:0046006,biological regulation,regulation of biological process,regulation of cellular process,regulation of cell activation,regulation of leukocyte proliferation,regulation of mononuclear cell proliferation,regulation of T cell proliferation,
693,negative regulation of cell projection organization (GO:0031345),GO:0031345,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component organization,regulation of cell projection organization,,,
694,positive regulation of dendritic spine development (GO:0060999),GO:0060999,biological regulation,regulation of biological process,positive regulation of biological process,regulation of dendritic spine development,,,,
695,negative regulation of transcription factor import into nucleus (GO:0042992),GO:0042992,,,,,,,,
696,negative regulation of actin filament bundle assembly (GO:0032232),GO:0032232,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,negative regulation of supramolecular fiber organization,negative regulation of cytoskeleton organization,
697,retinal ganglion cell axon guidance (GO:0031290),GO:0031290,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,neuron projection guidance,axon guidance
698,regulation of axonogenesis (GO:0050770),GO:0050770,biological regulation,regulation of biological process,regulation of developmental process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,regulation of neuron projection development,
699,positive regulation of Ras protein signal transduction (GO:0046579),GO:0046579,biological regulation,regulation of biological process,regulation of signaling,regulation of cell communication,regulation of intracellular signal transduction,regulation of small GTPase mediated signal transduction,regulation of Ras protein signal transduction,
700,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",GO:0000479,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,RNA metabolic process,RNA phosphodiester bond hydrolysis,"RNA phosphodiester bond hydrolysis, endonucleolytic",endonucleolytic cleavage involved in rRNA processing
701,biotin metabolic process (GO:0006768),GO:0006768,cellular process,cellular metabolic process,organic acid metabolic process,water-soluble vitamin metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,
702,positive regulation of axonogenesis (GO:0050772),GO:0050772,biological regulation,regulation of biological process,regulation of developmental process,regulation of cell differentiation,regulation of cell development,positive regulation of cell development,regulation of neuron projection development,
703,somatic hypermutation of immunoglobulin genes (GO:0016446),GO:0016446,immune system process,somatic diversification of immune receptors,somatic diversification of immunoglobulins,,,,,
704,"phagocytosis, engulfment (GO:0006911)",GO:0006911,cellular process,cellular component organization or biogenesis,cellular component organization,membrane organization,membrane invagination,plasma membrane invagination,,
705,regulation of peptidyl-threonine phosphorylation (GO:0010799),GO:0010799,biological regulation,regulation of biological process,regulation of metabolic process,regulation of cellular metabolic process,regulation of phosphorus metabolic process,regulation of phosphate metabolic process,regulation of protein phosphorylation,
706,cellular response to cAMP (GO:0071320),GO:0071320,cellular process,response to endogenous stimulus,response to oxygen-containing compound,response to organic cyclic compound,response to purine-containing compound,,,
707,regulation of synapse assembly (GO:0051963),GO:0051963,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component biogenesis,regulation of synapse organization,,,
708,centromere complex assembly (GO:0034508),GO:0034508,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,protein-DNA complex organization,protein-DNA complex assembly,,
709,positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101),GO:1902101,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cell cycle,regulation of cell cycle process,regulation of chromosome segregation,regulation of sister chromatid segregation,
710,phosphatidylinositol-mediated signaling (GO:0048015),GO:0048015,biological regulation,regulation of biological process,intracellular signal transduction,inositol lipid-mediated signaling,,,,
711,regulation of lamellipodium organization (GO:1902743),GO:1902743,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of cell projection organization,regulation of plasma membrane bounded cell projection organization,,
712,negative regulation of protein import into nucleus (GO:0042308),GO:0042308,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of protein import into nucleus,
713,regulation of viral entry into host cell (GO:0046596),GO:0046596,biological regulation,regulation of biological process,regulation of biological process involved in symbiotic interaction,regulation of viral life cycle,,,,
714,negative regulation of microtubule polymerization (GO:0031115),GO:0031115,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,regulation of supramolecular fiber organization,regulation of microtubule polymerization,negative regulation of cytoskeleton organization,
715,neuron apoptotic process (GO:0051402),GO:0051402,cellular process,cell death,neuron death,apoptotic process,,,,
716,negative regulation of inclusion body assembly (GO:0090084),GO:0090084,biological regulation,regulation of biological process,negative regulation of biological process,regulation of cellular component biogenesis,regulation of inclusion body assembly,,,
717,COPII vesicle coating (GO:0048208),GO:0048208,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,protein-containing complex assembly,vesicle coating,,
718,positive regulation of cell communication (GO:0010647),GO:0010647,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,,,,
719,MyD88-dependent toll-like receptor signaling pathway (GO:0002755),GO:0002755,cellular process,activation of immune response,positive regulation of biological process,regulation of response to stress,positive regulation of response to biotic stimulus,positive regulation of innate immune response,,
720,DNA replication initiation (GO:0006270),GO:0006270,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
721,histone lysine demethylation (GO:0070076),GO:0070076,metabolic process,demethylation,organonitrogen compound metabolic process,histone demethylation,histone modification,,,
722,calcium-mediated signaling (GO:0019722),GO:0019722,biological regulation,regulation of biological process,intracellular signal transduction,second-messenger-mediated signaling,,,,
723,axon development (GO:0061564),GO:0061564,cellular process,cellular component organization or biogenesis,cellular component organization,cell projection organization,plasma membrane bounded cell projection organization,neuron projection development,,
724,positive regulation of synapse assembly (GO:0051965),GO:0051965,biological regulation,regulation of biological process,regulation of developmental process,positive regulation of cellular process,regulation of synapse organization,regulation of synapse assembly,,
725,positive regulation of cytokine-mediated signaling pathway (GO:0001961),GO:0001961,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of response to cytokine stimulus,positive regulation of cell communication,,,
726,carboxylic acid biosynthetic process (GO:0046394),GO:0046394,cellular process,biosynthetic process,organic acid metabolic process,organic acid biosynthetic process,carboxylic acid metabolic process,,,
727,CENP-A containing nucleosome assembly (GO:0034080),GO:0034080,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-DNA complex organization,chromatin organization,chromatin remodeling,chromatin remodeling at centromere
728,negative regulation of telomere maintenance via telomere lengthening (GO:1904357),GO:1904357,biological regulation,regulation of biological process,negative regulation of biological process,negative regulation of cellular process,negative regulation of macromolecule metabolic process,negative regulation of organelle organization,regulation of telomere maintenance via telomere lengthening,
729,RNA methylation (GO:0001510),GO:0001510,cellular process,methylation,organic cyclic compound metabolic process,macromolecule modification,RNA metabolic process,,,
730,mitochondrial respiratory chain complex I assembly (GO:0032981),GO:0032981,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex assembly,mitochondrial respiratory chain complex assembly,,
731,ionotropic glutamate receptor signaling pathway (GO:0035235),GO:0035235,biological regulation,regulation of biological process,ligand-gated ion channel signaling pathway,glutamate receptor signaling pathway,,,,
732,"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)",GO:0015014,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,polysaccharide biosynthetic process,,,
733,regulation of monocyte differentiation (GO:0045655),GO:0045655,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of cell differentiation,regulation of leukocyte differentiation,regulation of myeloid leukocyte differentiation,,
734,regulation of synaptic vesicle cycle (GO:0098693),GO:0098693,biological regulation,regulation of biological process,regulation of cellular process,regulation of transport,,,,
